,barcode,predict,actual,error
0,U032S3EB4EEB03A001,0.03099063,0.0314,1.3
1,U032S3EB5EEB03B002,0.028933743,0.0287,0.81
2,U032S3EB5EEB03B004,0.030434087,0.0301,1.11
3,U032S3EB5EEB03B005,0.028998546,0.0287,1.04
4,U032S3EB5EEB03C002,0.0322628,0.0328,1.64
5,U032S3EB5EEB03C003,0.03118016,0.0314,0.7
6,U032S3EB5EEB03C004,0.032775007,0.0328,0.08
7,U032S3EB5EEB03C005,0.031221775,0.0314,0.57
8,U032S3EB7EEB03A007,0.021371597,0.0214,0.13
9,U032S3EB7EEB03D002,0.02034382,0.02,1.72
10,U032S3EB7EEB03D005,0.021354098,0.0214,0.21
11,U032S3EB8EEB03A012,0.019784655,0.02,1.08
12,U032S3EBBEEB03A043,0.0065709646,0.0067,1.93
13,U032S3EBDEEB03A081,0.008541726,0.0084,1.69
14,U032S3EBFEEB03A106,0.00566545,0.0057,0.61
15,U032S3EBMEEB03A148,0.006028493,0.006,0.47
16,U032S3EBNEEB03A168,0.0061809085,0.0063,1.89
17,U032S3EBNEEB03A173,0.006028493,0.006,0.47
18,U032S3EBVEEB03A210,0.006401695,0.0065,1.51
19,U032S3EC3EEB03A247,0.0060404325,0.0057,5.97
